('2014-12-16', 1)
('2014-12-17', 18)
('2014-12-16', 32)
('2014-12-19', 7)
('2014-12-18', 24)
('2014-12-22', 10)
('2014-12-17', 9)
('2014-12-24', 7)
('2014-12-26', 21)
('2014-12-22', 11)
('2014-12-23', 11)
('2014-12-26', 23)
('2014-12-27', 16)
('2014-12-28', 4)
('2014-12-29', 7)
('2014-12-30', 14)
('2014-12-29', 36)
('2014-12-31', 2)
('2014-12-30', 48)
('2014-12-31', 50)
('2014-12-31', 30)
('2015-01-02', 8)
('2015-01-01', 12)
('2015-01-02', 50)
('2015-01-05', 9)
('2015-01-04', 18)
('2015-01-03', 12)
('2015-01-02', 11)
('2015-01-06', 22)
('2015-01-05', 28)
('2015-01-07', 8)
('2015-01-06', 42)
('2015-01-07', 13)
('2015-01-09', 23)
('2015-01-08', 14)
('2015-01-10', 24)
('2015-01-11', 13)
('2015-01-09', 13)
('2015-01-11', 8)
('2015-01-12', 35)
('2015-01-13', 7)
('2015-01-13', 16)
('2015-01-14', 26)
('2015-01-15', 8)
('2015-01-15', 3)
('2015-01-16', 44)
('2015-01-17', 3)
('2015-01-18', 1)
('2015-01-19', 34)
('2015-01-20', 3)
('2015-01-17', 12)
('2015-01-21', 38)
('2015-01-20', 12)
('2015-01-21', 12)
('2015-01-23', 7)
('2015-01-22', 31)
('2015-01-24', 1)
('2015-01-23', 49)
('2015-01-25', 10)
('2015-01-24', 3)
('2015-01-27', 26)
('2015-01-26', 11)
('2015-01-27', 2)
('2015-01-28', 48)
('2015-01-29', 34)
('2015-01-28', 16)
('2015-02-01', 5)
('2015-01-29', 5)
('2015-01-30', 25)
('2015-01-31', 15)
('2015-02-04', 21)
('2015-02-05', 18)
('2015-02-02', 6)
('2015-02-03', 1)
('2015-02-01', 4)
('2015-02-06', 26)
('2015-02-07', 11)
('2015-02-05', 8)
('2015-02-08', 4)
('2015-02-09', 1)
('2015-02-11', 14)
('2015-02-10', 29)
('2015-02-09', 7)
('2015-02-11', 12)
('2015-02-13', 15)
('2015-02-12', 23)
('2015-02-15', 3)
('2015-02-14', 5)
('2015-02-16', 36)
('2015-02-13', 6)
('2015-02-17', 24)
('2015-02-16', 22)
('2015-02-18', 4)
('2015-02-21', 4)
('2015-02-23', 18)
('2015-02-19', 11)
('2015-02-18', 11)
('2015-02-24', 6)
('2015-02-24', 5)
('2015-02-25', 45)
('2015-02-25', 37)
('2015-02-26', 13)
('2015-02-26', 32)
('2015-02-27', 18)
('2015-02-28', 10)
('2015-03-01', 4)
('2015-03-03', 2)
('2015-03-02', 17)
('2015-02-27', 17)
('2015-03-03', 13)
('2015-03-05', 10)
('2015-03-04', 27)
('2015-03-09', 26)
('2015-03-08', 4)
('2015-03-05', 5)
('2015-03-07', 7)
('2015-03-06', 8)
('2015-03-09', 20)
('2015-03-10', 11)
('2015-03-11', 19)
('2015-03-12', 33)
('2015-03-11', 17)
('2015-03-12', 14)
('2015-03-13', 30)
('2015-03-14', 5)
('2015-03-15', 1)
('2015-03-16', 25)
('2015-03-17', 21)
('2015-03-15', 4)
('2015-03-18', 37)
('2015-03-17', 13)
('2015-03-18', 50)
('2015-03-18', 25)
('2015-03-19', 25)
('2015-03-19', 50)
('2015-03-19', 28)
('2015-03-20', 22)
('2015-03-22', 1)
('2015-03-21', 11)
('2015-03-20', 38)
('2015-03-23', 39)
('2015-03-22', 11)
('2015-03-24', 50)
('2015-03-25', 26)
('2015-03-24', 24)
('2015-03-26', 20)
('2015-03-25', 30)
('2015-03-26', 50)
('2015-03-27', 36)
('2015-03-26', 14)
('2015-03-27', 50)
('2015-03-27', 50)
('2015-03-28', 4)
('2015-03-27', 46)
